observation_point, N, analysis_diff
0,2,-1.332860312260891
1,2,-2.1746845767320337
2,2,-3.985441549083589
3,2,-15.429532434508474
4,2,5.2693538785033525
5,2,22.50649811004496
6,2,nan
7,2,75.06287524382515
8,2,55.208541010714725
9,2,73.58880136577864
10,2,nan
11,2,0.9421496373861373
12,2,65.59828255409866
13,2,0.4088175912793304
14,2,187.06746773510167
15,2,-6.196563440538739
16,2,0.7985992015464944
17,2,44.406175129126495
18,2,106.74452086361998
19,2,5.997549046387576
20,2,5.3030881620225045
21,2,-1.339654039897141
22,2,119.62858082081948
23,2,-16.93103937622891
24,2,40.733169415029806
25,2,5.166182308000316
26,2,12.323801747300422
27,2,-0.15684882170899073
28,2,144.39508934613787
29,2,1.1629680713658672
30,2,157.18610682882172
31,2,-6.143145892696339
32,2,-1.3016069325603894
33,2,25.60887995156463
34,2,72.6802260805498
35,2,-25.432928635174903
36,2,5.073396983139901
37,2,7.88767203698626
38,2,150.86144535885705
39,2,0.5880280643259539
40,2,-2.0549494676643008
41,2,-0.9062366353909965
42,2,0.9550759934309099
43,2,-41.126700880080534
44,2,181.68152981073672
45,2,6.542726856028821
46,2,1.6773396197550028
47,2,0.9436785956859239
48,2,233.89980602982268
49,2,-0.03154751342663076
50,2,2.4432879324349415
51,2,-38.82886328211225
52,2,-25.120773991189708
53,2,13.765203346203634
54,2,0.9883888201611626
55,2,-0.8941870294229375
56,2,16.481507145402247
57,2,-1.0705729328128655
58,2,-3.830991569922844
59,2,1.028648526697907
60,2,12.07538743151872
61,2,2.979376627296915
62,2,41.03808354496232
63,2,1.8375447030493888
64,2,9.13082990152543
65,2,-0.590435801984313
66,2,3.657881579071727
67,2,2.695454929555126
68,2,-2.76514745896111
69,2,12.985296398533137
70,2,-2.544998978723015
71,2,3.6378680215029817
72,2,-5.083053745204779
73,2,-2.8501940289152117
74,2,5.426806886361192
75,2,6.483562047192208
76,2,nan
77,2,-3.7284367567108347
78,2,-3.5534292788743187
79,2,nan
80,2,nan
81,2,-3.0201802942119684
82,2,-1.961594368488477
83,2,-0.2772442741897976
84,2,10.040417480512588
85,2,-2.324891379305882
86,2,2.748152336711428
87,2,-58.52588443350396
88,2,-8.309674931680092
89,2,-8.026753929441838
90,2,-2.939377462575976
91,2,-7.889614085710491
92,2,-4.825366290980128
93,2,-210.6480102624373
94,2,-31.411569444630004
95,2,11.50698681513768
96,2,3.8239619011219474
97,2,-2.6963422518201696
98,2,-4.553008427008535
99,2,-14.828387670087068
100,2,10.442021920003754
101,2,0.09147063534055633
102,2,-0.2180344827229419
103,2,146.36096818683382
104,2,1.1919157273969176
105,2,122.98676182849795
106,2,3.7740083549979317
107,2,-2.5833695131123022
108,2,-2.035990891783513
109,2,5.296466117068121
110,2,-4.101394666146007
111,2,0.5193231878602091
112,2,-13.130155737522728
113,2,3.448346411178136
114,2,nan
115,2,1.925240366305843
116,2,2.5616291678461494
117,2,-9.217094646574878
118,2,0.015878551054811396
119,2,-6.6114358637523765
120,2,4.503578855612432
121,2,nan
122,2,-2.8090490409495033
123,2,-3.7873697063050713
124,2,-17.110504368879447
125,2,-3.6879496732599364
126,2,-2.0744502002398804
127,2,3.0812670092082044
128,2,3.542152431085924
129,2,2.165857958479137
130,2,1.7585371012619362
131,2,66.2446032605867
132,2,2.2284156875093686
133,2,7.178149466738432
134,2,-11.667793815387995
0,4,-1.4524267666120068
1,4,-1.7679101155536046
2,4,-5.777660723339977
3,4,-26.770741433881085
4,4,-0.05436078878756234
5,4,20.004633754570023
6,4,nan
7,4,75.53526432999843
8,4,52.18795245525598
9,4,71.90255843196064
10,4,nan
11,4,-0.24399186972186726
12,4,60.659947150251355
13,4,-0.25462261267966824
14,4,183.4258769134949
15,4,-7.558592031287844
16,4,1.2781887768896922
17,4,35.18639476974931
18,4,98.56324031372878
19,4,7.354645608338615
20,4,9.884218548344506
21,4,-8.77713212051367
22,4,113.89359039239571
23,4,-17.45217779876566
24,4,36.23020552426897
25,4,4.711720093106123
26,4,21.575989488064806
27,4,-3.2000858971005073
28,4,136.97516178096248
29,4,1.442190862764619
30,4,149.16730610200193
31,4,-3.8087958199139393
32,4,-0.9971933448041455
33,4,31.149756263654126
34,4,65.83894541288646
35,4,-27.50371428098697
36,4,4.109505065332996
37,4,11.20481654435116
38,4,142.14253244726933
39,4,-0.41351514185043925
40,4,4.388501688607903
41,4,-0.9238942254642097
42,4,3.5209254557921668
43,4,-37.85263223297352
44,4,176.22390195759544
45,4,9.861915042361943
46,4,3.644909631250812
47,4,-8.591518256806921
48,4,225.2424950996283
49,4,-0.9306625380859259
50,4,3.4652576393400523
51,4,-37.2742115602432
52,4,-27.92381572346312
53,4,12.080379445355902
54,4,-2.8974452991587896
55,4,-9.060605111011682
56,4,14.209950108699559
57,4,-5.683023299293382
58,4,-6.54880379487804
59,4,-5.540996422449098
60,4,18.248533279375806
61,4,1.811360036296719
62,4,35.279977175366184
63,4,3.5405160154678015
64,4,19.62509237683207
65,4,-17.450810528109287
66,4,-1.9093958631074202
67,4,2.5254016905755634
68,4,-5.466851278196373
69,4,14.220562081599383
70,4,-3.3345783338490946
71,4,5.0912199337399215
72,4,-6.146114147095432
73,4,-3.0722297887268724
74,4,5.319544028143355
75,4,7.902148812170708
76,4,nan
77,4,-5.754789638365764
78,4,-3.3172674770621597
79,4,nan
80,4,nan
81,4,-2.759922247018949
82,4,0.8547400944989931
83,4,-0.5626940585043485
