observation_point, N, analysis_diff
115,10,-0.8379738840258142
116,10,6.542114732160371
117,10,-15.900949202200536
118,10,1.392875908419228
119,10,-12.90412371390903
120,10,-2.6937321460409294
121,10,nan
122,10,-0.5634758566884557
123,10,-5.842319169449183
124,10,-13.774082543226541
125,10,-21.046615491321063
126,10,-11.995843711999441
127,10,-16.1376423467309
128,10,6.869176078311284
129,10,9.31562226377082
130,10,3.040181194746765
131,10,55.29788061165982
132,10,2.354868846948193
133,10,8.159008615547464
134,10,-9.551844111689206
