grid_point, analysis_value, analysis_increment
[0, 0],5321.359231031822,3.175816817710256
[0, 1],5347.081678978783,12.143168976620473
[0, 2],5372.244590459767,19.213104810301047
[0, 3],5392.690107812521,17.646630336781527
[0, 4],5422.709375293833,25.431724011079496
[0, 5],5449.512672515351,32.51373117285675
[0, 6],5473.258666526098,38.50205531375468
[0, 7],5490.101417048666,40.155622599186245
[0, 8],5501.198369113356,39.82458838207276
[0, 9],5509.740919614558,39.5307949634298
[0, 10],5516.565414941922,37.27248847080773
[0, 11],5530.24322559986,39.849871310310846
[0, 12],5551.7514865474595,47.75546816883525
[0, 13],5576.635298902037,55.67176374149585
[0, 14],5602.3493080202425,61.28069175822384
[0, 15],5627.985896821597,67.24932724949213
[0, 16],5647.068908139287,69.67283277755178
[0, 17],5661.189874983939,68.23503849639656
[0, 18],5674.373874621657,65.09603290381801
[0, 19],5681.628315680377,58.24308639577066
[0, 20],5683.37900045069,51.27794363947396
[0, 21],5679.7298746322485,43.37170407621397
[1, 0],5298.084440254935,-6.884462244048336
[1, 1],5324.823129103866,2.179956007656074
[1, 2],5341.554391549751,1.1923410343197247
[1, 3],5362.380289995077,1.0897190199575562
[1, 4],5391.795892005841,8.056836744322936
[1, 5],5419.74158394176,14.733918312852438
[1, 6],5445.608985460907,20.941307758259427
[1, 7],5465.015345871523,23.040559902846326
[1, 8],5478.485910349342,23.28296222626068
[1, 9],5487.390699674571,22.617893182069565
[1, 10],5497.287457423083,23.78985997095242
[1, 11],5509.852340828228,26.41106821854828
[1, 12],5527.962780841596,32.683111161715715
[1, 13],5555.491609161582,45.58274855471518
[1, 14],5579.536222989768,51.852862247736994
[1, 15],5605.961327096817,59.21081694913573
[1, 16],5626.586316959719,60.71174873938071
[1, 17],5647.339590454602,60.98284369071098
[1, 18],5664.395375119374,57.49359946479308
[1, 19],5677.726654122289,55.387260357461855
[1, 20],5683.108546500015,52.01785158771327
[1, 21],5682.351526354632,46.963853658973676
[2, 0],5275.181496099555,-15.585138446329438
[2, 1],5293.236800003936,-13.365208915631229
[2, 2],5308.891674180678,-13.830837683327445
[2, 3],5327.363008680576,-15.350761496516498
[2, 4],5357.267367823272,-8.657978204782012
[2, 5],5387.447089055823,-1.2393864881041736
[2, 6],5414.025300693067,4.4460818544721405
[2, 7],5435.655888398786,7.300280900633879
[2, 8],5446.7328153020935,3.80988942321801
[2, 9],5457.853051001279,5.126515970843684
[2, 10],5466.556706659936,5.931610214619468
[2, 11],5475.856773485122,6.831120103802277
[2, 12],5491.027107914347,12.258767183279815
[2, 13],5515.498917690927,24.623415774389287
[2, 14],5538.524800591589,32.15816449795784
[2, 15],5562.21887742116,37.0772103236086
[2, 16],5588.340902612502,40.80226569079423
[2, 17],5617.949666150457,44.0705342255842
